port,hits
30680.0,13
44304.0,26
58348.0,6
58338.0,8
50239.0,2
39108.0,3
39261.0,3
29020.0,5
57122.0,9
30795.0,8
57154.0,10
57130.0,5
57120.0,14
57144.0,9
50414.0,6
50430.0,6
50436.0,10
60518.0,6
27547.0,9
11584.0,17
58500.0,6
3010.0,22
58508.0,8
27387.0,2
30974.0,10
44708.0,12
6527.0,18
8124.0,35
11401.0,28
31300.0,2
31000.0,19
4242.0,66
30586.0,8
8282.0,199
3443.0,257
42328.0,7
42342.0,14
21278.0,17
37502.0,13
56438.0,6
30966.0,8
30592.0,7
1389.0,50
39060.0,3
13325.0,2
45118.0,13
12203.0,7
30688.0,9
37710.0,5
30686.0,9
47698.0,5
47684.0,6
39747.0,2
57586.0,9
39767.0,2
3396.0,83
64666.0,3
9106.0,35
30874.0,9
62452.0,2
30828.0,8
37884.0,5
30893.0,3
57654.0,4
57640.0,4
47219.0,1
45755.0,2
4431.0,54
38773.0,1
13045.0,4
36111.0,1
36335.0,1
10643.0,28
13723.0,1
51087.0,1
9300.0,308
50022.0,157
50034.0,13
39271.0,2
30663.0,8
48542.0,6
2444.0,24
13319.0,5
50864.0,8
50860.0,6
50880.0,4
50892.0,3
34490.0,7
30867.0,8
30711.0,9
9010.0,77
30984.0,8
44789.0,9
46836.0,12
42010.0,8
103.0,16
42112.0,7
45642.0,9
45654.0,10
45630.0,16
30644.0,8
30887.0,9
8458.0,33
56014.0,9
23511.0,4
38054.0,9
37882.0,6
61533.0,1
37880.0,4
32785.0,5
8020.0,469
30853.0,11
43130.0,8
6236.0,17
39859.0,2
36878.0,13
61627.0,5
30589.0,11
30879.0,8
41798.0,8
6760.0,10
41814.0,4
41816.0,9
62741.0,2
6832.0,28
43322.0,10
13320.0,2
39211.0,2
9192.0,147
40361.0,2
30804.0,8
9033.0,57
50990.0,8
30647.0,6
58190.0,9
37241.0,2
49024.0,9
39065.0,4
40332.0,8
8291.0,426
32389.0,7
7210.0,73
44650.0,9
30731.0,6
59677.0,4
30830.0,8
30559.0,8
5467.0,24
46874.0,19
8230.0,48
60944.0,8
3050.0,79
47766.0,7
47780.0,4
35148.0,10
39167.0,3
39029.0,2
24655.0,6
43930.0,3
43960.0,3
43948.0,14
30936.0,6
43938.0,5
40394.0,12
52869.0,157
48018.0,24
30787.0,10
57332.0,6
57338.0,6
57350.0,5
44752.0,10
7070.0,166
29651.0,1
42023.0,4
30554.0,8
58318.0,8
39313.0,4
43752.0,16
8239.0,39
36570.0,11
39300.0,16
44722.0,7
8236.0,33
8237.0,29
54870.0,9
54866.0,8
54872.0,8
55421.0,1
51858.0,6
48972.0,5
55.0,4
8245.0,24
53452.0,11
22703.0,9
39442.0,3
33404.0,5
33378.0,5
33410.0,9
33392.0,11
9162.0,29
28650.0,4
56038.0,6
8251.0,39
47668.0,4
12366.0,27
62355.0,5
8249.0,25
59165.0,1
39280.0,7
45582.0,4
45588.0,11
1038.0,10
64695.0,4
32044.0,2
6005.0,93
28620.0,4
28634.0,2
44838.0,6
34908.0,7
51150.0,5
59656.0,8
43846.0,6
43850.0,6
43836.0,8
60512.0,7
30080.0,88
59133.0,1
40189.0,2
44338.0,8
44354.0,3
44372.0,4
44360.0,4
3942.0,21
55498.0,12
16130.0,5
41836.0,3
41844.0,4
41826.0,8
14511.0,13
10082.0,86
57244.0,6
57260.0,7
56302.0,6
21296.0,15
55263.0,3
48622.0,16
48636.0,8
50220.0,8
51920.0,7
39938.0,12
8284.0,31
39302.0,5
19100.0,48
59520.0,2
59536.0,8
53692.0,5
53680.0,11
53140.0,3
53152.0,16
53142.0,5
10123.0,53
1.0,72
59171.0,1
39120.0,4
39130.0,3
39144.0,7
5150.0,34
25827.0,38
37944.0,6
39075.0,2
13316.0,4
2079.0,155
8614.0,8
45488.0,6
46356.0,4
46370.0,4
61337.0,50
